,date,city,musical,cast,theatre
20,2024-02-14 13:20:00,成都,熊猫,,熊猫剧院
21,2024-02-14 15:20:00,成都,熊猫,,熊猫剧院
22,2024-02-14 15:00:00,武汉,小说,文振宇 刘子赫 罗明晖,武演新空间（梦时代馆）
23,2024-02-14 19:30:00,武汉,灯塔,文振宇 周靖杰 王皓,武汉剧院小剧场
24,2024-02-14 14:30:00,南京,狄俄尼索斯,王竞琦 田祥晔 王瑞 陈津伟,布洛幕小剧场
25,2024-02-14 19:30:00,南京,狄俄尼索斯,强东玥 姜呈洋 黄小芸 陈津伟,布洛幕小剧场
26,2024-02-14 14:00:00,西安,丝路之声,梁广 年蔓婷 刘靖 李佳璐 张书豪 尉梦飞 杨雨婷 王笑语 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
27,2024-02-14 16:30:00,西安,丝路之声,梁广 田恬 刘靖 李佳璐 张书豪 尉梦飞 杨雨婷 韩烨 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
0,2024-02-15 14:00:00,上海,彗星来电,杜鑫艳 鞠红川 周默涵,星空间3号·MOriginal Box
1,2024-02-15 14:30:00,上海,月亮与六便士,孙豆尔 欧阳乔子 陈旭茂 黄可,星空间815号·缪时客小剧场
2,2024-02-15 14:30:00,上海,小说,饶恒宇 吴俊鹏 杜航,星空间115号·缪时客小剧场
3,2024-02-15 14:30:00,上海,FLAMES火焰,钱安琪 田野 施博威,星空间4号·缪时客小剧场
4,2024-02-15 14:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
5,2024-02-15 19:30:00,上海,嫌疑人X的献身,刘岩 徐昊 徐丽东 倪晔 廖婧媛 钱蒙楠 陈希琰,人民大舞台
6,2024-02-15 19:30:00,上海,嗜血博士,顾易 徐佳文 赵子萌,星空间1023号·涵金小剧场
7,2024-02-15 19:30:00,上海,月亮与六便士,白一博 黎宛曈 薛尚文 周钰斐,星空间815号·缪时客小剧场
8,2024-02-15 19:30:00,上海,小说,朱亚洲 舒杨 汤佳明,星空间115号·缪时客小剧场
9,2024-02-15 19:30:00,上海,FLAMES火焰,陈旭 孙豆尔 相征,星空间4号·缪时客小剧场
10,2024-02-15 19:30:00,上海,嘿！亚利桑那,吴杭律 李磊 王逸飞 周文嘉 郭俊宇 唐超 陈旭茂,嘿！亚利桑那
11,2024-02-15 19:30:00,上海,LIZZIE丽兹,丁辰西 杜鑫艳 刘烨 王洁璐,星空间11号·MOriginal Box
12,2024-02-15 19:30:00,上海,I LOVE YOU…,王天择 钱安琪 钱海睿 陈姝月,上海话剧艺术中心戏剧沙龙
13,2024-02-15 19:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
14,2024-02-15 19:30:00,上海,AI,王国栋 覃一凡,长宁来福士The Bell 钟楼演艺新空间
15,2024-02-15 19:30:00,上海,致爱,严小北 陆宇鹏,亚洲大厦·星空间黑匣子
16,2024-02-15 19:30:00,上海,对位法,尤宣程 卜然 殷雨晴 叶宇锋,星空间138号小宇宙剧场
17,2024-02-15 14:30:00,北京,威尼斯商人,潘蕾蕾 李嘉骏 郭禹良 周校校,时间剧场TIME THEATRE
18,2024-02-15 19:30:00,北京,威尼斯商人,潘蕾蕾 李嘉骏 郭禹良 周校校,时间剧场TIME THEATRE
19,2024-02-15 11:00:00,成都,熊猫,,熊猫剧院
20,2024-02-15 13:20:00,成都,熊猫,,熊猫剧院
21,2024-02-15 15:20:00,成都,熊猫,,熊猫剧院
22,2024-02-15 15:00:00,武汉,灯塔,曾阵 周靖杰 汤俊军,武汉剧院小剧场
23,2024-02-15 19:30:00,武汉,小说,文振宇 刘子赫 汤俊军,武演新空间（梦时代馆）
24,2024-02-15 14:30:00,南京,狄俄尼索斯,陈诺 田祥晔 陈晨 林甫,布洛幕小剧场
25,2024-02-15 19:30:00,南京,狄俄尼索斯,王竞琦 姜呈洋 黄小芸 陈津伟,布洛幕小剧场
26,2024-02-15 14:00:00,西安,丝路之声,谭建业 田恬 刘靖 李佳璐 张书豪 尉梦飞 孙紫薇 韩烨 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
27,2024-02-15 16:30:00,西安,丝路之声,谭建业 刘玥岑 刘靖 孙晶俐 张书豪 尉梦飞 孙紫薇 韩烨 林梦圆 张潇寒,丝路欢乐世界·琴音剧场
0,2024-02-16 14:30:00,上海,月亮与六便士,白一博 欧阳乔子 陈旭茂 邹子月,星空间815号·缪时客小剧场
1,2024-02-16 14:30:00,上海,小说,饶恒宇 吴俊鹏 杜航,星空间115号·缪时客小剧场
2,2024-02-16 14:30:00,上海,FLAMES火焰,陈旭 钱蒙楠 相征,星空间4号·缪时客小剧场
3,2024-02-16 14:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
4,2024-02-16 14:30:00,上海,疯子与赞美诗,张铎 张琛,星空间111号·墨剧场
5,2024-02-16 17:00:00,上海,彗星来电,丁辰西 陆宇鹏 陈楷,星空间3号·MOriginal Box
6,2024-02-16 19:30:00,上海,嫌疑人X的献身,冒海飞 王培杰 徐丽东 倪晔 廖婧媛 刘钊 陈旭,人民大舞台
7,2024-02-16 19:30:00,上海,嗜血博士,杨皓晨 管重昊 钱安琪,星空间1023号·涵金小剧场
8,2024-02-16 19:30:00,上海,月亮与六便士,吴俊鹏 黎宛曈 薛尚文 黄可,星空间815号·缪时客小剧场
9,2024-02-16 19:30:00,上海,小说,舒杨 钱蒙楠 汤佳明,星空间115号·缪时客小剧场
10,2024-02-16 19:30:00,上海,FLAMES火焰,谢一溦 田野 顾易,星空间4号·缪时客小剧场
11,2024-02-16 19:30:00,上海,I LOVE YOU…,白倬铭 毛珏懿 张玮伦 张钟仪,上海话剧艺术中心戏剧沙龙
12,2024-02-16 19:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
13,2024-02-16 19:30:00,上海,时光代理人,王逸飞 杜光祎 吴杭律 洪果 周波,时光剧场
14,2024-02-16 19:30:00,上海,AI,翟松 卓群,长宁来福士The Bell 钟楼演艺新空间
15,2024-02-16 19:30:00,上海,致爱,杜鑫艳 孙礼杰,亚洲大厦·星空间黑匣子
16,2024-02-16 19:30:00,上海,疯子与赞美诗,傅祥安 周一男,星空间111号·墨剧场
17,2024-02-16 19:30:00,上海,对位法,尤宣程 卜然 殷雨晴 叶宇锋,星空间138号小宇宙剧场
18,2024-02-16 20:00:00,上海,LIZZIE丽兹,郭耀嵘 丁臻滢 周文嘉 宁梦恬,星空间11号·MOriginal Box
19,2024-02-16 20:00:00,上海,彗星来电,刘烨 徐佳文 施博威,星空间3号·MOriginal Box
20,2024-02-16 19:30:00,北京,威尼斯商人,潘蕾蕾 李嘉骏 郭禹良 周校校,时间剧场TIME THEATRE
21,2024-02-16 11:00:00,成都,熊猫,,熊猫剧院
22,2024-02-16 13:20:00,成都,熊猫,,熊猫剧院
23,2024-02-16 15:20:00,成都,熊猫,,熊猫剧院
24,2024-02-16 15:00:00,武汉,小说,文振宇 曾阵 刘秫呈,武演新空间（梦时代馆）
25,2024-02-16 19:30:00,武汉,灯塔,黄磊 周靖杰 刘秫呈,武汉剧院小剧场
26,2024-02-16 14:30:00,南京,狄俄尼索斯,娄睿 田祥晔 王瑞 陈津伟,布洛幕小剧场
27,2024-02-16 19:30:00,南京,狄俄尼索斯,娄睿 姜呈洋 王瑞 褚威,布洛幕小剧场
28,2024-02-16 14:00:00,西安,丝路之声,梁广 田恬 周熙智 孙晶俐 谭建业 张书豪 杨雨婷 韩烨 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
29,2024-02-16 16:30:00,西安,丝路之声,梁广 刘玥岑 周熙智 孙晶俐 谭建业 张书豪 杨雨婷 王笑语 林梦圆 殷赫阳,丝路欢乐世界·琴音剧场
30,2024-02-16 19:30:00,苏州,下一站爱人,陈希乔 琚睿琪,苏州文化艺术中心大道喜剧院
0,2024-02-17 14:00:00,上海,嫌疑人X的献身,冒海飞 王培杰 徐丽东 桑可舟 潘珏辰 刘钊 陈旭,人民大舞台
1,2024-02-17 14:30:00,上海,嗜血博士,马灵奇 徐佳文 贾景伊,星空间1023号·涵金小剧场
2,2024-02-17 14:30:00,上海,月亮与六便士,吴俊鹏 黎宛曈 陈旭茂 邹子月,星空间815号·缪时客小剧场
3,2024-02-17 14:30:00,上海,小说,相征 汤佳明 钱蒙楠,星空间115号·缪时客小剧场
4,2024-02-17 14:30:00,上海,灯塔,周一男 尹智博 张鼎棋,星空间9号·鲸剧场
5,2024-02-17 14:30:00,上海,阿尔托，梵高,钟嘉诚 刘洪书 张琦铭,星空间17号·NFP小剧场
6,2024-02-17 14:30:00,上海,嘿！亚利桑那,马小乔 李磊 王逸飞 王玙璠 郭俊宇 唐超 高旭,嘿！亚利桑那
7,2024-02-17 14:30:00,上海,恋爱吧！人类,潘龙 王款儿 林瀚青 罗月宁,开心麻花剧场-上海南翔印象城店
8,2024-02-17 14:30:00,上海,时光代理人,蔡淇 吴以瀚 蔡璐 洪果 宋元明,时光剧场
9,2024-02-17 14:30:00,上海,疯子与赞美诗,毛寅东 邵立君,星空间111号·墨剧场
10,2024-02-17 19:30:00,上海,嫌疑人X的献身,刘岩 徐昊 徐丽东 孙豆尔 陈恬 钱蒙楠 陈旭,人民大舞台
11,2024-02-17 19:30:00,上海,嗜血博士,朱微之 管重昊 贾景伊,星空间1023号·涵金小剧场
12,2024-02-17 19:30:00,上海,FLAMES火焰,谢一溦 田野 汤佳明,星空间4号·缪时客小剧场
13,2024-02-17 19:30:00,上海,灯塔,邵立君 徐泽辉 翟松,星空间9号·鲸剧场
14,2024-02-17 19:30:00,上海,翻国王棋,顾易 遇泓羊 张烜尔 薛尚文 宋元明 杨琳,星空间77号·鲸剧场
15,2024-02-17 19:30:00,上海,I LOVE YOU…,白倬铭 钱安琪 钱海睿 韩霜,上海话剧艺术中心戏剧沙龙
16,2024-02-17 19:30:00,上海,AI,舒杨 覃一凡,长宁来福士The Bell 钟楼演艺新空间
17,2024-02-17 19:30:00,上海,致爱,周文嘉 陆宇鹏,亚洲大厦·星空间黑匣子
18,2024-02-17 19:30:00,上海,疯子与赞美诗,傅祥安 张琛,星空间111号·墨剧场
19,2024-02-17 19:30:00,上海,对位法,尤宣程 卜然 殷雨晴 叶宇锋,星空间138号小宇宙剧场
20,2024-02-17 20:00:00,上海,LIZZIE丽兹,丁辰西 丁臻滢 陈姝月 宁梦恬,星空间11号·MOriginal Box
21,2024-02-17 14:30:00,北京,威尼斯商人,潘蕾蕾 李嘉骏 郭禹良 周校校,时间剧场TIME THEATRE
22,2024-02-17 11:00:00,成都,熊猫,,熊猫剧院
23,2024-02-17 13:20:00,成都,熊猫,,熊猫剧院
24,2024-02-17 15:20:00,成都,熊猫,,熊猫剧院
25,2024-02-17 14:30:00,南京,狄俄尼索斯,王竞琦 田祥晔 薛钦元 褚威,布洛幕小剧场
26,2024-02-17 19:30:00,南京,狄俄尼索斯,陈诺 姜呈洋 陈晨 褚威,布洛幕小剧场
